player,team,salary,guaranteed,years_left,player_key
Aaron Gordon,DEN,33658037,70008717,3,aaron gordon
Aaron Nesmith,IND,11000000,51389440,3,aaron nesmith
Aaron Wiggins,ATL,9224300,17570097,3,aaron wiggins
Ace Bailey,UTA,9523080,9523080,3,ace bailey
Aday Mara,OKC,5791680,11873160,4,aday mara
Adem Bona,PHI,2296271,NA,2,adem bona
Adou Thiero,LAL,2150917,2150917,2,adou thiero
AJ Dybantsa,WAS,14748000,30233760,4,aj dybantsa
A.J. Green,MIL,10044644,45000000,4,aj green
AJ Johnson,NOP,3237120,3237120,2,aj johnson
Ajay Mitchell,OKC,2850000,NA,2,ajay mitchell
Al Horford,GSW,6822000,13985100,2,al horford
Alex Caruso,OKC,19550160,62994960,3,alex caruso
Alex Karaban,SAC,2948280,6043920,4,alex karaban
Alex Sarr,WAS,12370680,12370680,2,alex sarr
Alex Toohey,GSW,2185116,NA,1,alex toohey
Alijah Martin,TOR,2185116,2185116,2,alijah martin
Allen Graves,TOR,4065720,8334600,4,allen graves
Alperen Şengün,HOU,35642202,112018349,4,alperen sengun
Amen Thompson,HOU,12258609,220258609,6,amen thompson
Andre Drummond,NYK,2449421,2449421,1,andre drummond
Andre Jackson Jr.,TOR,2537526,NA,1,andre jackson
Andrew Nembhard,IND,19550160,40548480,2,andrew nembhard
Andrew Wiggins,MIA,30169644,46515798,3,andrew wiggins
Anfernee Simons,PHI,6000000,6000000,2,anfernee simons
Anthony Black,ORL,10106316,10106316,1,anthony black
Anthony Davis,WAS,58456566,58456566,2,anthony davis
Anthony Edwards,MIN,48924624,156896208,3,anthony edwards
Anthony Gill,WAS,2449421,2449421,1,anthony gill
Ariel Hukporti,PHI,3400000,3400000,1,ariel hukporti
Asa Newell,ATL,3399480,3399480,3,asa newell
Ausar Thompson,DET,11117925,11117925,1,ausar thompson
Austin Reaves,LAL,41240250,133618410,4,austin reaves
Ayo Dosunmu,MIN,19310345,86510348,5,ayo dosunmu
Baba Miller,LAC,1705630,4000000,4,baba miller
Bam Adebayo,MIA,49800000,103584000,3,bam adebayo
Baylor Scheierman,BOS,2744040,2744040,2,baylor scheierman
Ben Saraf,BRK,3028560,3028560,3,ben saraf
Ben Sheppard,IND,5031669,5031669,1,ben sheppard
Ben Simmons,SAC,2449421,NA,1,ben simmons
Bennedict Mathurin,NOP,7804878,7804878,2,bennedict mathurin
Bennett Stirtz,OKC,4717320,9670560,4,bennett stirtz
Bez Mbeng,CHO,2185116,NA,1,bez mbeng
Bilal Coulibaly,WAS,9240012,9240012,1,bilal coulibaly
Bobby Portis,MIA,14521414,14521414,2,bobby portis
Bogdan Bogdanović,HOU,2449421,2449421,1,bogdan bogdanovic
Bogoljub Markovic,MIL,1357763,6346496,4,bogoljub markovic
Bones Hyland,MIN,2845883,2845883,1,bones hyland
Bradley Beal,PHO,25807810,77532040,4,bradley beal
Branden Carlson,POR,2449421,2449421,1,branden carlson
Brandin Podziemski,GSW,5679459,5679459,1,brandin podziemski
Brandon Ingram,LAC,40000000,40000000,2,brandon ingram
Brandon Miller,CHO,15104626,15104626,1,brandon miller
Brandon Williams,GSW,2449421,NA,1,brandon williams
Brayden Burries,MIL,6417360,13155360,4,brayden burries
Brice Sensabaugh,UTA,4862237,4862237,1,brice sensabaugh
Bronny James,LAL,2296271,NA,2,bronny james
Brook Lopez,LAC,9187500,9187500,1,brook lopez
Bruce Brown,NYK,2449421,NA,1,bruce brown
Bruce Thornton,HOU,1357763,1357763,4,bruce thornton
Bryce McGowens,NOP,2584539,2584539,2,bryce mcgowens
Bub Carrington,WAS,4900560,4900560,2,bub carrington
Buddy Hield,ATL,9658536,9658536,2,buddy hield
Cade Cunningham,DET,50105628,222691680,4,cade cunningham
Caleb Houstan,NOP,2625627,NA,1,caleb houstan
Caleb Martin,DAL,10001493,10001493,2,caleb martin
Caleb Wilson,CHI,10683720,21901680,4,caleb wilson
Cam Christie,LAC,2296271,NA,2,cam christie
Cam Spencer,MEM,2411090,5027844,3,cam spencer
Cam Whitmore,CLE,1819437,5458311,3,cam whitmore
Cameron Boozer,MEM,11849760,24291600,4,cameron boozer
Cameron Carr,LAL,3315360,6796440,4,cameron carr
Cameron Johnson,DEN,23062500,23062500,1,cameron johnson
Caris LeVert,MIL,14809200,14809200,1,caris levert
Carter Bryant,SAS,5145360,5145360,3,carter bryant
Cason Wallace,OKC,7420806,7420806,1,cason wallace
Cedric Coward,MEM,6001080,6001080,3,cedric coward
Charles Bassey,GSW,2449421,2449421,1,charles bassey
Chaz Lanier,DET,2150917,2150917,3,chaz lanier
Chet Holmgren,OKC,41500000,240700000,5,chet holmgren
Chris Cenac Jr.,BOS,2988120,6125760,4,chris cenac
Christian Anderson Jr.,CHO,4257480,8727480,4,christian anderson
Christian Braun,DEN,21551726,125000000,5,christian braun
Christian Koloko,NOP,2625627,2625627,1,christian koloko
Christoph Tilly,OKC,1357763,NA,1,christoph tilly
CJ McCollum,ATL,21000000,21000000,1,cj mccollum
Clint Capela,HOU,7035000,14405000,2,clint capela
Coby White,CHO,22839506,74000000,3,coby white
Cody Williams,MIN,6015600,6015600,2,cody williams
Cole Anthony,MEM,3700000,7400000,2,cole anthony
Collin Gillespie,PHO,10714286,48000000,4,collin gillespie
Collin Murray-Boyles,TOR,6649560,6649560,3,collin murray boyles
Collin Sexton,LAL,9366000,19200300,2,collin sexton
Cooper Flagg,DAL,14517480,14517480,3,cooper flagg
Corey Kispert,ATL,13975000,27025000,3,corey kispert
Craig Porter Jr.,CLE,2406205,2406205,1,craig porter
Daeqwon Plowden,SAC,2449421,5113822,2,daeqwon plowden
Dailyn Swain,CHI,4965480,10179240,4,dailyn swain
Dalen Terry,GSW,1357763,NA,1,dalen terry
Dalton Knecht,LAL,4201080,4201080,2,dalton knecht
Damian Lillard,MIL,35915403,90066412,4,damian lillard
D'Angelo Russell,MEM,5969250,5969250,1,dangelo russell
Daniel Gafford,DAL,17263584,54380289,3,daniel gafford
Daniss Jenkins,DET,4000000,4000000,1,daniss jenkins
Danny Wolf,BRK,2941440,2941440,3,danny wolf
Darius Acuff Jr.,SAC,8021640,16444560,4,darius acuff
Darius Garland,LAC,42166510,87053440,2,darius garland
DaRon Holmes,DEN,3372120,3372120,2,daron holmes
Darryn Peterson,UTA,13195320,27050640,4,darryn peterson
Davion Mitchell,MIA,12400000,12400000,1,davion mitchell
Day'Ron Sharpe,BRK,10000000,10000000,2,dayron sharpe
De'Aaron Fox,SAS,49800000,223104000,4,deaaron fox
Dean Wade,PHI,9000000,30000000,4,dean wade
Deandre Ayton,WAS,8104000,8104000,1,deandre ayton
De'Andre Hunter,SAC,24910714,24910714,1,deandre hunter
